	ligand	group	mean	var	std	std %
NAD_G3P_backbone_cl002	G3P	backbone	1.17598111502	0.0542837728636	0.232988782699	19.8122894766
NAD_G3P_G3P_cl002_2	G3P	G3P	1.74473293597	0.0700030438561	0.264580883391	15.1645491374
NAD_G3P_backbone_cl002_2	G3P	backbone	1.11935025762	0.0383477590787	0.195825838639	17.4945989699
NAD_G3P_G3P_cl002_3	G3P	G3P	1.9081703175	0.164479975845	0.4055613096	21.2539366052
NAD_G3P_backbone_cl002_3	G3P	backbone	1.32044129288	0.157767701024	0.397199825055	30.0808394282
NAD_G3P_G3P_cl002_4	G3P	G3P	1.04396779193	0.217699092889	0.466582353812	44.6931751554
NAD_G3P_backbone_cl002_4	G3P	backbone	1.03743710782	0.0322817597807	0.179671254742	17.3187611459
NAD_G3P_G3P_cl002_5	G3P	G3P	0.800220696788	0.0897924544958	0.299653891174	37.4464060199
NAD_G3P_backbone_cl002_5	G3P	backbone	0.986096833515	0.0362788468842	0.190470068211	19.3155541867
NAD_DPG_DPG_cl100	DPG	DPG	1.78961706259	0.0670593163774	0.258958136341	14.4700305867
NAD_DPG_backbone_cl100	DPG	backbone	1.25081719991	0.074795298924	0.27348729207	21.8646891081
NAD_DPG_DPG_cl100_2	DPG	DPG	1.25730122761	0.028873161122	0.169921043788	13.5147441247
NAD_DPG_backbone_cl100_2	DPG	backbone	1.18919205536	0.0439464809155	0.209634159706	17.6282845786
NAD_DPG_DPG_cl100_3	DPG	DPG	1.41788955045	0.164845821481	0.40601209524	28.6349592682
NAD_DPG_backbone_cl100_3	DPG	backbone	1.20180149074	0.0580985239311	0.241036353962	20.0562535343
NAD_DPG_DPG_cl100_4	DPG	DPG	1.45329444055	0.0994979728031	0.315432992572	21.7046858346
NAD_DPG_backbone_cl100_4	DPG	backbone	1.13397323675	0.0263535364999	0.162337723588	14.3158337717
NAD_DPG_DPG_cl100_5	DPG	DPG	0.909724061379	0.105553599841	0.324890135032	35.7130418799
NAD_DPG_backbone_cl100_5	DPG	backbone	1.10632474305	0.0346458242937	0.186133888085	16.8245254619
NAD_DPG_DPG_cl101	DPG	DPG	1.02395716783	0.0974328446857	0.312142346832	30.4839261482
NAD_DPG_backbone_cl101	DPG	backbone	1.03358648823	0.0374591172526	0.193543579725	18.7254363257
NAD_DPG_DPG_cl101_2	DPG	DPG	1.40600008744	0.0484129685531	0.22002947201	15.6493213604
NAD_DPG_backbone_cl101_2	DPG	backbone	1.00517606301	0.0296839228463	0.172290228528	17.1403035615
NAD_DPG_DPG_cl101_3	DPG	DPG	1.4121027656	0.0445377642603	0.211039721996	14.9450682441
NAD_DPG_backbone_cl101_3	DPG	backbone	1.14211250541	0.0367088297484	0.191595484677	16.7755351393
NAD_DPG_DPG_cl101_4	DPG	DPG	1.72316870361	0.0614882753736	0.247968295098	14.3902506225
NAD_DPG_backbone_cl101_4	DPG	backbone	1.00540552458	0.025827572169	0.160709589536	15.9845540538
NAD_DPG_DPG_cl101_5	DPG	DPG	1.65827316927	0.151279449725	0.388946589811	23.4549166578
NAD_DPG_backbone_cl101_5	DPG	backbone	0.949070331622	0.0273391151543	0.165345441892	17.4218323324
NAD_DPG_DPG_cl220	DPG	DPG	0.710635455226	0.0854975799011	0.292399692033	41.1462290381
NAD_DPG_backbone_cl220	DPG	backbone	1.13845780967	0.032624670802	0.180623007399	15.8655863981
NAD_DPG_DPG_cl220_2	DPG	DPG	0.780137485038	0.0300929962456	0.17347333007	22.2362510964
NAD_DPG_backbone_cl220_2	DPG	backbone	1.0250899803	0.024692420814	0.157138222002	15.329212559
NAD_DPG_DPG_cl220_3	DPG	DPG	1.72266793478	0.183850587753	0.428778016872	24.8903464339
NAD_DPG_backbone_cl220_3	DPG	backbone	1.00583278688	0.0267865173256	0.163665870986	16.2716778694
NAD_DPG_DPG_cl220_4	DPG	DPG	0.633612293349	0.0230543777276	0.151836681101	23.9636576964
NAD_DPG_backbone_cl220_4	DPG	backbone	1.29897219687	0.0525139940857	0.229159320312	17.6415877771
NAD_DPG_DPG_cl220_5	DPG	DPG	1.33534176482	0.0569611522454	0.23866535619	17.8729792236
NAD_DPG_backbone_cl220_5	DPG	backbone	1.19692385144	0.0422340119178	0.205509152881	17.1697767267
NAD_DPG_DPG_cl120	DPG	DPG	1.11658173113	0.0418355813317	0.204537481484	18.3181826983
NAD_DPG_backbone_cl120	DPG	backbone	1.39406831191	0.103765955207	0.322127234501	23.1069906509
NAD_DPG_DPG_cl120_2	DPG	DPG	1.64508510912	0.111555554767	0.333999333483	20.3028604194
NAD_DPG_backbone_cl120_2	DPG	backbone	1.04791175208	0.0352389358802	0.187720366184	17.913757128
NAD_DPG_DPG_cl120_3	DPG	DPG	1.43025327118	0.0542896281584	0.233001347976	16.2909152295
NAD_DPG_backbone_cl120_3	DPG	backbone	0.988069699348	0.0292749653958	0.171099285199	17.3165198075
NAD_DPG_DPG_cl120_4	DPG	DPG	1.26261727926	0.059722652332	0.244382184973	19.3552067588
NAD_DPG_backbone_cl120_4	DPG	backbone	1.22674704951	0.0524424394595	0.229003142903	18.6675112033
NAD_DPG_DPG_cl120_5	DPG	DPG	1.17455119152	0.129947943032	0.360482930292	30.6911212465
NAD_DPG_backbone_cl120_5	DPG	backbone	1.08221776067	0.0362705655173	0.190448327683	17.5979673043
NAD_DPG_DPG_cl201	DPG	DPG	1.20425291845	0.235404284373	0.485184794046	40.2892769958
NAD_DPG_backbone_cl201	DPG	backbone	0.98775144111	0.0330170036739	0.181705816291	18.3959049542
NAD_DPG_DPG_cl201_2	DPG	DPG	1.3991997006	0.138178328991	0.371723457682	26.5668622944
NAD_DPG_backbone_cl201_2	DPG	backbone	1.11949029306	0.0411030586169	0.202738892709	18.1099285957
NAD_DPG_DPG_cl201_3	DPG	DPG	1.12066543566	0.0351869822435	0.187581934747	16.73844207
NAD_DPG_backbone_cl201_3	DPG	backbone	1.06435515233	0.0396026239694	0.199004080283	18.6971500864
NAD_DPG_DPG_cl201_4	DPG	DPG	1.88513850604	0.159348052979	0.399184234382	21.1753265398
NAD_DPG_backbone_cl201_4	DPG	backbone	1.14954837228	0.0352519955947	0.187755147984	16.3329488791
NAD_DPG_DPG_cl201_5	DPG	DPG	1.62932385091	0.0546471717998	0.233767345452	14.3475065023
NAD_DPG_backbone_cl201_5	DPG	backbone	0.938471769007	0.0242024451971	0.155571350824	16.5770943742
NAD_remG3P_G3P_G3P_cl000	G3P	G3P	1.02503102306	0.0460821583148	0.214667553009	20.9425420479
NAD_remG3P_G3P_backbone_cl000	G3P	backbone	1.02424146374	0.050187087609	0.22402474776	21.8722591978
NAD_remG3P_G3P_G3P_cl000_2	G3P	G3P	0.474664669781	0.0410986648703	0.202728056446	42.70974213
NAD_remG3P_G3P_backbone_cl000_2	G3P	backbone	0.897142658517	0.0173088673611	0.13156316871	14.6646876571
NAD_remG3P_G3P_G3P_cl000_3	G3P	G3P	0.666096828034	0.0279124366608	0.167070154907	25.0819622427
NAD_remG3P_G3P_backbone_cl000_3	G3P	backbone	1.09940644505	0.0593536245879	0.243625993252	22.1597748812
NAD_remG3P_G3P_G3P_cl000_4	G3P	G3P	0.896376339999	0.0232770804048	0.152568281123	17.0205609313
NAD_remG3P_G3P_backbone_cl000_4	G3P	backbone	0.991890055444	0.0274703390443	0.165741784244	16.709693109
NAD_remG3P_G3P_G3P_cl000_5	G3P	G3P	0.660058208339	0.0262931652086	0.162151673468	24.5662687654
NAD_remG3P_G3P_backbone_cl000_5	G3P	backbone	1.15638720143	0.0509736721689	0.22577349749	19.5240398036
NAD_remG3P_G3P_G3P_cl010	G3P	G3P	1.21699926785	0.0555635933353	0.235719310485	19.3688950119
NAD_remG3P_G3P_backbone_cl010	G3P	backbone	0.87908446088	0.0225204138854	0.150068030857	17.0709456867
NAD_remG3P_G3P_G3P_cl010_2	G3P	G3P	0.963138850848	0.02086014809	0.144430426469	14.9958052613
NAD_remG3P_G3P_backbone_cl010_2	G3P	backbone	0.96671012915	0.0245299563596	0.156620421273	16.2013841119
NAD_remG3P_G3P_G3P_cl010_3	G3P	G3P	1.22320542447	0.192468523554	0.438712347164	35.8657947705
NAD_remG3P_G3P_backbone_cl010_3	G3P	backbone	1.03455390883	0.0302748955937	0.17399682639	16.8185364633
NAD_remG3P_G3P_G3P_cl010_4	G3P	G3P	1.45512244497	0.0493204527039	0.222082085509	15.2620891991
NAD_remG3P_G3P_backbone_cl010_4	G3P	backbone	0.912799144976	0.0225258158902	0.150086028298	16.4423936113
NAD_remG3P_G3P_G3P_cl010_5	G3P	G3P	1.41183962523	0.108770653286	0.329803961901	23.3598743093
NAD_remG3P_G3P_backbone_cl010_5	G3P	backbone	0.895410065631	0.0187153421487	0.136804028262	15.2783661378
NAD_remG3P_G3P_G3P_cl100	G3P	G3P	0.68338332743	0.0455355318784	0.213390561831	31.2256025667
NAD_remG3P_G3P_backbone_cl100	G3P	backbone	0.981918239164	0.0372688236449	0.193051349762	19.6606338555
NAD_remG3P_G3P_G3P_cl100_2	G3P	G3P	1.29308995604	0.0315225656418	0.177545953606	13.7303636748
NAD_remG3P_G3P_backbone_cl100_2	G3P	backbone	0.944329964277	0.0284637697124	0.168712091186	17.8657987746
NAD_remG3P_G3P_G3P_cl100_3	G3P	G3P	0.941097309541	0.124886172184	0.353392377089	37.5510984364
NAD_remG3P_G3P_backbone_cl100_3	G3P	backbone	0.962809269325	0.045360381053	0.212979766769	22.1206601925
NAD_remG3P_G3P_G3P_cl100_4	G3P	G3P	0.759899740115	0.0418686427009	0.204618285353	26.9270108347
NAD_remG3P_G3P_backbone_cl100_4	G3P	backbone	0.936526982548	0.022232119151	0.149104390113	15.9209924424
NAD_remG3P_G3P_G3P_cl100_5	G3P	G3P	1.4279850735	0.0465548618733	0.215765756952	15.1098047841
NAD_remG3P_G3P_backbone_cl100_5	G3P	backbone	0.865079942646	0.0156375792547	0.125050306895	14.4553469258
NAD_remG3P_G3P_G3P_cl200	G3P	G3P	1.22880815705	0.0922257987678	0.303687007901	24.7139479145
NAD_remG3P_G3P_backbone_cl200	G3P	backbone	0.946299642729	0.0286551258383	0.16927824975	17.8884406277
NAD_remG3P_G3P_G3P_cl200_2	G3P	G3P	0.835784124333	0.34241876849	0.585165590658	70.0139633694
NAD_remG3P_G3P_backbone_cl200_2	G3P	backbone	0.840455210858	0.0162607901727	0.127517803356	15.1724686466
NAD_remG3P_G3P_G3P_cl200_3	G3P	G3P	0.717338543956	0.0222756074634	0.149250150631	20.8060966316
NAD_remG3P_G3P_backbone_cl200_3	G3P	backbone	0.859313306567	0.0202124066145	0.142170343653	16.5446458895
NAD_remG3P_G3P_G3P_cl200_4	G3P	G3P	0.390256526505	0.0280524155113	0.167488553374	42.9175534548
NAD_remG3P_G3P_backbone_cl200_4	G3P	backbone	0.836769292202	0.0167014925091	0.129234254395	15.4444308126
NAD_remG3P_G3P_G3P_cl200_5	G3P	G3P	1.04404361655	0.0238189943032	0.154334034818	14.7823359457
NAD_remG3P_G3P_backbone_cl200_5	G3P	backbone	1.01005685943	0.0415119699164	0.203744864761	20.1716232961
NAD_remG3P_G3P_G3P_cl200_6	G3P	G3P	1.50710957284	0.12649245253	0.355657774454	23.5986673341
NAD_remG3P_G3P_backbone_cl200_6	G3P	backbone	0.864806635175	0.0179802842724	0.13409058234	15.505267523
NAD_remG3P_G3P_G3P_cl200_7	G3P	G3P	1.16422792594	0.0437422238797	0.209146417324	17.9643876139
NAD_remG3P_G3P_backbone_cl200_7	G3P	backbone	1.04893225956	0.0385943646121	0.196454484836	18.7289963718
NAD_remG3P_G3P_G3P_cl200_8	G3P	G3P	1.32678508602	0.492779833829	0.701982787416	52.9085527728
NAD_remG3P_G3P_backbone_cl200_8	G3P	backbone	0.911272084534	0.0227296355765	0.15076350877	16.5442913624
NAD_remG3P_G3P_G3P_cl200_9	G3P	G3P	1.12304859227	0.125160507639	0.353780309852	31.5017811597
NAD_remG3P_G3P_backbone_cl200_9	G3P	backbone	0.839806928528	0.0147937011483	0.12162935973	14.4830145594
NAD_remG3P_G3P_G3P_cl200_10	G3P	G3P	1.05805870289	0.162397327497	0.402985517726	38.0872551425
NAD_remG3P_G3P_backbone_cl200_10	G3P	backbone	0.97450996418	0.0234449735375	0.15311751545	15.7122575528
NAD_remG3P_DPG_DPG_cl100	DPG	DPG	0.996704107251	0.0402325509139	0.200580534733	20.1243812757
NAD_remG3P_DPG_backbone_cl100	DPG	backbone	1.02056746615	0.0350271346097	0.187155375583	18.33836388
NAD_remG3P_DPG_DPG_cl100_2	DPG	DPG	1.1131336018	0.055382658772	0.235335205127	21.1416854855
NAD_remG3P_DPG_backbone_cl100_2	DPG	backbone	0.895177966629	0.017266328769	0.131401403223	14.6788022183
NAD_remG3P_DPG_DPG_cl100_3	DPG	DPG	1.78830620902	0.155621001212	0.394488277661	22.059324945
NAD_remG3P_DPG_backbone_cl100_3	DPG	backbone	1.03321804467	0.0258285705063	0.160712695536	15.5545769225
NAD_remG3P_DPG_DPG_cl100_4	DPG	DPG	1.49313519809	0.387726252885	0.622676684071	41.7026324789
NAD_remG3P_DPG_backbone_cl100_4	DPG	backbone	0.841656506466	0.0207035409257	0.143887250741	17.0957213109
NAD_remG3P_DPG_DPG_cl100_5	DPG	DPG	0.913610402699	0.022692830917	0.150641398417	16.4885817819
NAD_remG3P_DPG_backbone_cl100_5	DPG	backbone	0.874219160196	0.015956402332	0.126318653935	14.4493119902
NAD_remG3P_DPG_DPG_cl120	DPG	DPG	1.59987446006	0.15954399785	0.399429590604	24.9663083307
NAD_remG3P_DPG_backbone_cl120	DPG	backbone	0.883324719759	0.0180868095141	0.134487209481	15.2251155745
NAD_remG3P_DPG_DPG_cl120_2	DPG	DPG	1.29276750628	0.0912144933881	0.30201737266	23.3620795071
NAD_remG3P_DPG_backbone_cl120_2	DPG	backbone	0.951748054899	0.0208959873632	0.144554444287	15.1883099254
NAD_remG3P_DPG_DPG_cl120_3	DPG	DPG	1.33025016261	0.0560568442294	0.236763266216	17.7984015993
NAD_remG3P_DPG_backbone_cl120_3	DPG	backbone	0.805489010931	0.0135732135608	0.116504135381	14.4637771341
NAD_remG3P_DPG_DPG_cl120_4	DPG	DPG	1.24670128933	0.0547267583721	0.233937509545	18.7645197408
NAD_remG3P_DPG_backbone_cl120_4	DPG	backbone	1.07160206016	0.0541038073571	0.232602251402	21.7060287629
NAD_remG3P_DPG_DPG_cl120_5	DPG	DPG	1.13113079821	0.0215125731523	0.146671650813	12.9668161317
NAD_remG3P_DPG_backbone_cl120_5	DPG	backbone	0.919298443204	0.0173947586406	0.131889190765	14.346721866
NAD_remG3P_DPG_DPG_cl210	DPG	DPG	1.55989584152	0.0966966494154	0.310960848686	19.9347187427
NAD_remG3P_DPG_backbone_cl210	DPG	backbone	1.08218101015	0.0360911937103	0.18997682414	17.5549951772
NAD_remG3P_DPG_DPG_cl210_2	DPG	DPG	0.571684844495	0.0383703178715	0.195883429293	34.264233376
NAD_remG3P_DPG_backbone_cl210_2	DPG	backbone	0.862503440511	0.0195537408629	0.1398346912	16.212653148
NAD_remG3P_DPG_DPG_cl210_3	DPG	DPG	1.54124316777	0.106530689471	0.326390394268	21.1770862051
NAD_remG3P_DPG_backbone_cl210_3	DPG	backbone	0.909517010254	0.0170373949631	0.130527372467	14.3512843625
NAD_remG3P_DPG_DPG_cl210_4	DPG	DPG	1.42582013324	0.0424651735356	0.206070797387	14.4527905436
NAD_remG3P_DPG_backbone_cl210_4	DPG	backbone	0.92417051993	0.0214809747065	0.146563892915	15.8589664737
NAD_remG3P_DPG_DPG_cl210_5	DPG	DPG	1.06524334229	0.107825049088	0.328367247283	30.8255620333
NAD_remG3P_DPG_backbone_cl210_5	DPG	backbone	0.911351214064	0.0239524396762	0.154765757441	16.9820103438
NAD_remG3P_DPG_DPG_cl220	DPG	DPG	1.18953571058	0.0557871080282	0.23619294661	19.8558937331
NAD_remG3P_DPG_backbone_cl220	DPG	backbone	0.935822523398	0.025771731346	0.160535763448	17.1545094753
NAD_remG3P_DPG_DPG_cl220_2	DPG	DPG	1.46676581364	0.109798831435	0.331359067229	22.5911365092
NAD_remG3P_DPG_backbone_cl220_2	DPG	backbone	0.884711523573	0.0179869082455	0.134115279687	15.1592102186
NAD_remG3P_DPG_DPG_cl220_3	DPG	DPG	1.07839070369	0.0236570366094	0.153808441282	14.2627751478
NAD_remG3P_DPG_backbone_cl220_3	DPG	backbone	0.944206742661	0.0193463844939	0.139091281157	14.731019688
NAD_remG3P_DPG_DPG_cl220_4	DPG	DPG	1.79908351939	0.142376248289	0.377327773015	20.9733327525
NAD_remG3P_DPG_backbone_cl220_4	DPG	backbone	1.07076605479	0.0372233467375	0.192933529324	18.018270981
NAD_remG3P_DPG_DPG_cl220_5	DPG	DPG	1.04108664712	0.0324598019488	0.180166039943	17.3055759039
NAD_remG3P_DPG_backbone_cl220_5	DPG	backbone	0.932051717159	0.0203899105418	0.142793244034	15.3203133909
NAD_remG3P_DPG_DPG_cl110	DPG	DPG	1.73890896336	0.0857853934026	0.292891436206	16.8434025229
NAD_remG3P_DPG_backbone_cl110	DPG	backbone	1.12727794933	0.0412577817608	0.203120116583	18.0186365487
NAD_remG3P_DPG_DPG_cl110_2	DPG	DPG	1.33427415689	0.145556543195	0.38151873243	28.593728692
NAD_remG3P_DPG_backbone_cl110_2	DPG	backbone	0.811643583972	0.0138411805241	0.11764854663	14.4950996907
NAD_remG3P_DPG_DPG_cl110_3	DPG	DPG	1.45414775588	0.047491206613	0.21792477283	14.9864256881
NAD_remG3P_DPG_backbone_cl110_3	DPG	backbone	0.947343354564	0.0215175721912	0.146688691422	15.4842160148
NAD_remG3P_DPG_DPG_cl110_4	DPG	DPG	1.55937464298	0.204396471646	0.452102280072	28.9925376245
NAD_remG3P_DPG_backbone_cl110_4	DPG	backbone	1.05397864357	0.0387289937155	0.196796833601	18.671804671
NAD_remG3P_DPG_DPG_cl110_5	DPG	DPG	1.59409662173	0.204909316913	0.452669103112	28.3965913322
NAD_remG3P_DPG_backbone_cl110_5	DPG	backbone	0.991246964293	0.0311969218473	0.176626503808	17.8186173749
