Priority	e4p[c]	f6p[c]	g3p[c]	s7p[c]	pi[c]	param_TALA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0.00014264038732150037	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.6131368201531432
1	0.00022606977883586258	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.7152527510491988
1	0.00035829645349814786	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.7992399910868985
1	0.0005678616100321741	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.86319311139679
1	0.0009000000000000007	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.9090909090909093
1	1	0.00011999999999999995	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.09090909090909088
1	1	0.00019018718309533363	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.13680688860321
1	1	0.0003014263717811494	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.20076000891310164
1	1	0.0004777286046641966	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.28474724895080133
1	1	0.0007571488133762321	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.38686317984685703
1	1	0.0011999999999999995	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.49999999999999994
1	1	0.0019018718309533362	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.613136820153143
1	1	0.0030142637178114944	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.7152527510491984
1	1	0.004777286046641966	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.7992399910868982
1	1	0.007571488133762321	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.8631931113967899
1	1	0.011999999999999995	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_f6p.txt"	0.9090909090909092
1	0	0	1	0.0000285	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.09090909090909093
1	0	0	1	0.000045169455985141756	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.13680688860321005
1	0	0	1	0.00007158876329802309	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.2007600089131019
1	0	0	1	0.00011346054360774674	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.28474724895080145
1	0	0	1	0.000179822843176855	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.38686317984685686
1	0	0	1	0.000285	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.5
1	0	0	1	0.00045169455985141755	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.6131368201531432
1	0	0	1	0.000715887632980231	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.7152527510491988
1	0	0	1	0.0011346054360774674	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.7992399910868982
1	0	0	1	0.00179822843176855	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.86319311139679
1	0	0	1	0.00285	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_s7p.txt"	0.9090909090909091
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	0.002	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	71.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	1	0.05	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/absRateRev.txt"	79.4
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/customRatio_1.txt"	1000.
